符,翻数,親ツモ,親ロン,子ツモ親,子ツモ子,子ロン
20,1,,,,,
20,2,700,,700,400,
20,3,1300,,1300,700,
20,4,2600,,2600,1300,
20,5,4000,,4000,2000,
20,6,6000,,4000,2000,
30,1,500,1500,500,300,1000
30,2,1000,2900,1000,500,2000
30,3,2000,5800,2000,1000,3900
30,4,3900,11600,3900,2000,7700
30,5,4000,12000,4000,2000,8000
30,6,6000,18000,6000,3000,12000
40,1,700,2000,700,400,1300
40,2,1300,3900,1300,700,2600
40,3,2600,7700,2600,1300,5200
40,4,4000,12000,4000,2000,8000
40,5,4000,12000,4000,2000,8000
40,6,6000,18000,6000,3000,12000